"ID","Fecha creación","Tipo vertimiento","Medio receptor","Caudal","Permanentes","Transitorias","Cuenca","Macro cuenca","Cota","Pretratamiento","Tratamiento primario","Tratamiento secundario","Manejo efluente"
"126767.0","05/03/2025","Agua residual doméstica","Al suelo","0.0043","2","1","Q. Honda, Q Pena y otros directos al Cauca (mi)","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1722.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"111925.0","25/12/2021","Agua residual doméstica","Al suelo","0.0042","2","1","Q. EL SALADO","Río Porce","1811.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"119798.0","14/08/2023","Agua residual doméstica","Al suelo","0.005","3","0","Q. La Tutura","Río Porce","2501.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"123023.0","11/03/2024","Agua residual doméstica","Al suelo","0.0086","5","0","Q. PIEDRAS BLANCAS","Río Porce","2055.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"119721.0","10/08/2023","Agua residual doméstica","Al suelo","0.0067","4","0","R. Grande Tramo 3","Río Porce","2527.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"106215.0","23/02/2021","Agua residual doméstica","Al suelo","0.0067","3","2","Q. PIEDRAS BLANCAS","Río Porce","2446.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"110635.0","22/10/2021","Agua residual doméstica","Al suelo","0.0069","4","0","Q. LA IGUANA","Río Porce","2505.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"106040.0","17/02/2021","Agua residual doméstica","Al suelo","0.0034","2","0","Q. PIEDRAS BLANCAS","Río Porce","2497.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"111143.0","20/11/2021","Agua residual doméstica","Al suelo","0.0086","5","0","Q. RODAS","Río Porce","2130.0","No registra","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"108827.0","13/07/2021","Agua residual doméstica","Al suelo","0.0091","4","3","Directos R. Cauca (mi) - R. Amagáy Q. Sinifaná- NSS","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1600.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"112596.0","24/02/2022","Agua residual doméstica","Al suelo","0.0085","4","2","Q. Membrillal","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1820.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"117897.0","21/04/2023","Agua residual doméstica","Al suelo","0.0052","3","0","Q. Guaracu","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1586.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"112755.0","11/03/2022","Agua residual doméstica","Al suelo","0.0058","3","1","R. Grande - Chico - NSS","Río Porce","2700.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"109766.0","03/09/2021","Agua residual doméstica","Al suelo","0.0074","3","3","Río Frío y Otros Directos al Cauca","Río Frío y Otros Directos al Cauca","1838.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"111501.0","09/12/2021","Agua residual doméstica","Al suelo","0.0052","3","0","Q. SANTA ELENA","Río Porce","2051.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"126162.0","18/12/2024","Agua residual doméstica","Al suelo","0.0085","4","2","Q. LA TOLDA","Río Porce","1779.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"108949.0","26/07/2021","Agua residual doméstica","Al suelo","0.005","2","2","Q. Las Palmas","Río Nare","2686.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"105834.0","10/02/2021","Agua residual doméstica","Al suelo","0.005","3","0","Directos R. Cauca (mi) entre R. Piedras y R. Poblanco","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1465.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"106213.0","23/02/2021","Agua residual doméstica","Al suelo","0.01","4","4","Q. PIEDRAS BLANCAS","Río Porce","2445.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"113962.0","16/06/2022","Agua residual doméstica","Al suelo","0.0121","7","0","Q. LOS ORTEGAS (Q. LA MATA)","Río Porce","1729.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"105405.0","14/01/2021","Agua residual doméstica","Al suelo","0.0066","2","4","Q. SANTA ROSA","Río Porce","2216.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"112500.0","18/02/2022","Agua residual doméstica","Al suelo","0.0103","6","0","Q. PIEDRAS BLANCAS","Río Porce","2425.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"118904.0","16/06/2023","Agua residual doméstica","Al suelo","0.0091","4","3","Directos R. Buey (mi) entre Q. Sabaletas y R. Arma","Río Arma","1017.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"108551.0","23/06/2021","Agua residual doméstica","Al suelo","0.0033","1","2","Q. LOS ORTEGAS (Q. LA MATA)","Río Porce","1750.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"122587.0","07/02/2024","Agua residual doméstica","Al suelo","0.005","2","2","Q. PIEDRAS BLANCAS","Río Porce","2472.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"110140.0","27/09/2021","Agua residual doméstica","Al suelo","0.005","3","0","R. Aurra","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","2561.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"122491.0","30/01/2024","Agua residual doméstica","Al suelo","0.0034","2","0","Q. PIEDRAS BLANCAS","Río Porce","2461.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"115574.0","06/10/2022","Agua residual doméstica","Al suelo","0.0049","1","4","Q. La Sucia","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","2137.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"125363.0","23/10/2024","Agua residual doméstica","Al suelo","0.0066","2","4","Q. LA IGUANA","Río Porce","2134.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"109797.0","06/09/2021","Agua residual doméstica","Al suelo","0.01","5","2","Río Frío y Otros Directos al Cauca","Río Frío y Otros Directos al Cauca","1376.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"107569.0","26/04/2021","Agua residual doméstica","Al suelo","0.0093","4","3","Q. Mulato","Río San Bartolo y otros directos al Magdalena Medio","1450.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"117239.0","02/03/2023","Agua residual doméstica","Al suelo","0.0091","3","5","Q. Aguas Frías","Río San Bartolo y otros directos al Magdalena Medio","1014.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"122187.0","22/12/2023","Agua residual doméstica","Al suelo","0.0066","3","2","Q. Sabaletas","Río Arma","2148.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"111931.0","25/12/2021","Agua residual doméstica","Al suelo","0.005","2","2","Q. EL SALADO","Río Porce","2250.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"118819.0","09/06/2023","Agua residual doméstica","Al suelo","0.0068","4","0","Q. La Horconda","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1630.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"116722.0","30/12/2022","Agua residual doméstica","Al suelo","0.0068","3","2","Q. Cimarrona","Río San Bartolo y otros directos al Magdalena Medio","1510.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"106127.0","22/02/2021","Agua residual doméstica","Al suelo","0.0118","7","0","Alto Nechi - NSS","Alto Nechí","2347.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"126030.0","16/12/2024","Agua residual doméstica","Al suelo","0.0137","7","2","Q. La Alejandría","Río San Bartolo y otros directos al Magdalena Medio","810.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"118445.0","23/05/2023","Agua residual doméstica","Al suelo","0.0086","5","0","Q. EL SALADO","Río Porce","1719.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"106582.0","09/03/2021","Agua residual doméstica","Al suelo","0.0104","6","0","R. Bajo Porce - NSS","Río Porce","1100.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"122186.0","22/12/2023","Agua residual doméstica","Al suelo","0.0058","3","1","Q. Sabaletas","Río Arma","1871.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"106873.0","16/03/2021","Agua residual doméstica","Al suelo","0.0077","4","1","Q. PIEDRAS BLANCAS","Río Porce","2461.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"112110.0","04/01/2022","Agua residual doméstica","Al suelo","0.0067","3","2","Q. PIEDRAS BLANCAS","Río Porce","2497.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"111570.0","14/12/2021","Agua residual doméstica","Al suelo","0.005","3","0","R. Porce","Río Porce","1487.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"124375.0","29/07/2024","Agua residual doméstica","Al suelo","0.0116","5","4","Directos R. Buey (mi) entre Q. Sabaletas y R. Arma","Río Arma","1525.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"106139.0","22/02/2021","Agua residual doméstica","Al suelo","0.0069","4","0","Q. Comia","Directos Río Cauca entre Río San Juan y Pto Valdivia (mi)","2038.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"119395.0","25/07/2023","Agua residual doméstica","Al suelo","0.0075","3","3","Q. EL CHUSCAL","Río Porce","1967.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"117861.0","21/04/2023","Agua residual doméstica","Al suelo","0.0052","3","0","Q. Grande","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","947.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"112588.0","24/02/2022","Agua residual doméstica","Al suelo","0.0091","3","5","Q. Membrillal","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1495.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"115862.0","28/10/2022","Agua residual doméstica","Al suelo","0.0075","3","3","Q. La Sucia","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1898.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"107119.0","26/03/2021","Agua residual doméstica","Al suelo","0.0067","3","2","Q. LA IGUANA","Río Porce","2135.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"120578.0","03/10/2023","Agua residual doméstica","Al suelo","0.0067","4","0","Directos R. Buey (mi) entre Q. Sabaletas y R. Arma","Río Arma","1528.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"119397.0","25/07/2023","Agua residual doméstica","Al suelo","0.0151","6","6","Q. EL CHUSCAL","Río Porce","1880.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"118240.0","08/05/2023","Agua residual doméstica","Al suelo","0.0074","3","3","Q. Palmichala","Río Frío y Otros Directos al Cauca","1576.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"116224.0","24/11/2022","Agua residual doméstica","Al suelo","0.0052","3","0","R. Nus","Río Nare","1377.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"107528.0","23/04/2021","Agua residual doméstica","Al suelo","0.0052","3","0","R. Guarquina","Río San Bartolo y otros directos al Magdalena Medio","1224.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"111892.0","25/12/2021","Agua residual doméstica","Al suelo","0.0228","0","29","Q. EL SALADO","Río Porce","2401.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"104672.0","15/12/2020","Agua residual doméstica","Al suelo","0.0091","3","5","Rio Aburrá- NSS","Río Porce","2630.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
